8CH,MAU,PCW,B21 16℃ Mixing Pump&RCU, RCU,"FFU
REA",TT-Avg(℃),MT-Avg(g),焓值計算(kj/kg)
584,232,334,218,89,"1,906",15.5,5.3,29
586,234,333,219,89,"1,908",16.8,4.9,29.3
611,242,332,224,89,"1,906",19,7.2,37.4
628,248,334,221,89,"1,902",20.5,7.4,39.4
987,245,333,218,89,"1,894",21.3,9.6,45.8
"1,319",248,333,222,89,"1,887",22.7,11.4,51.8
"1,483",298,332,221,89,"1,886",21.6,13.5,56
"1,515",286,331,225,89,"1,882",24.6,14.1,60.6
"1,559",271,327,220,88,"1,876",25.7,14.1,61.8
"1,550",270,321,215,88,"1,873",25.5,14.1,61.6
"1,300",305,326,222,88,"1,877",21.2,13.6,55.9
921,273,333,219,89,"1,812",16.3,10.3,42.5
"1,190",279,331,219,89,"1,810",17.7,11.5,46.9
"1,319",280,332,222,89,"1,815",22,12.5,53.9
"1,365",302,331,223,89,"1,881",23.9,14.1,59.9
"1,390",298,329,223,89,"1,880",24.9,14.7,62.5
"1,433",295,326,223,88,"1,872",26.4,15.4,65.8
"1,450",289,331,224,88,"1,871",25.8,15.9,66.5
"1,522",295,329,224,88,"1,876",25.1,15.7,65.2
"1,493",281,330,223,88,"1,875",23,13.9,58.5
"1,470",285,330,222,88,"1,871",22.8,13.1,56.2
885,290,333,221,89,"1,876",10.9,9.8,35.7
"1,218",314,334,221,89,"1,878",19.7,11.3,48.5
"1,342",289,331,221,89,"1,874",21.1,13.2,54.7
"1,398",302,333,220,89,"1,871",22.4,14.3,58.9
"1,386",295,333,207,89,"1,867",22.5,13.5,56.9
794,285,332,208,89,"1,873",15.5,9.9,40.6
633,268,333,215,88,"1,876",18.1,7.6,37.5
691,264,330,218,88,"1,875",20.9,8.4,42.4
976,270,332,219,88,"1,873",22,9.8,47
"1,154",297,334,218,88,"1,871",24.1,10.9,52
"1,379",304,335,217,89,"1,869",24.4,13.7,59.4
"1,425",304,334,218,89,"1,869",24.9,14.5,62
"1,441",300,333,218,89,"1,868",25.9,14.8,63.8
"1,441",302,334,215,89,"1,872",25.4,14.8,63.2
"1,399",296,335,222,89,"1,871",23.9,14.7,61.4
"1,405",292,333,223,89,"1,869",25.5,14.5,62.6
"1,448",293,330,221,88,"1,866",26.6,15.2,65.5
"1,326",314,330,219,89,"1,869",26,14.7,63.6
"1,466",312,335,225,89,"1,874",26.5,15.3,65.7
"1,470",297,335,225,89,"1,872",25.9,14.2,62.2
"1,554",284,334,220,88,"1,864",27.1,15.9,67.8
"1,462",288,332,210,88,"1,864",25.1,15,63.4
"1,447",287,334,220,88,"1,865",25.8,14.6,63.1
"1,492",318,334,213,88,"1,863",24.7,15,63
"1,363",300,332,214,88,"1,861",20.1,13.1,53.5
"1,410",301,330,218,88,"1,864",22.5,12.9,55.4
"1,483",303,334,218,89,"1,866",25.5,14.5,62.6
"1,438",297,333,211,89,"1,781",22.5,13.8,57.7
"1,426",291,333,216,88,"1,760",22.5,14.7,60
"1,496",295,333,218,88,"1,758",25.5,15.8,65.9
"1,549",297,334,215,88,"1,761",26.3,16.1,67.5
"1,595",310,332,224,88,"1,760",27.2,16.1,68.4
"1,511",310,334,185,88,"1,758",24.7,16.2,66.1
"1,382",321,336,203,88,"1,835",22.1,13.5,56.5
"1,370",292,334,222,88,"1,869",22.9,13.2,56.6
"1,483",307,333,222,88,"1,868",23.3,15.4,62.6
"1,484",291,333,223,88,"1,865",25.1,15.7,65.2
"1,543",302,335,218,88,"1,865",26.8,16.8,69.8
"1,548",313,331,214,88,"1,865",25,16.2,66.4
"1,605",300,331,207,88,"1,833",26.6,16.7,69.3
"1,585",273,332,207,88,"1,858",25.2,17.8,70.7
"1,588",289,333,203,88,"1,859",24.1,17.4,68.5
"1,531",304,332,204,88,"1,859",24.6,17.9,70.3
"1,483",302,332,205,88,"1,864",24.5,16.7,67.2
"1,495",316,334,204,88,"1,868",25.8,17.6,70.8
"1,558",301,335,213,88,"1,707",28.3,17.1,72.1
"1,520",307,332,215,88,"1,809",29,17.5,73.9
"1,491",315,330,207,88,"1,820",27.2,17.2,71.2
"1,497",309,335,205,88,"1,805",27.8,16.9,71.1
"1,533",298,334,210,88,"1,867",28.6,18,74.7
"1,538",303,336,213,88,"1,868",28.2,17.9,74
"1,488",310,332,212,88,"1,869",26.9,16.7,69.6
"1,488",293,331,215,88,"1,868",28.5,15.9,69.3
"1,453",319,335,211,88,"1,870",24.1,16.5,66.2
"1,403",307,335,213,88,"1,870",23.2,16,64
"1,453",312,334,215,88,"1,863",24,16.3,65.6
"1,428",311,332,212,88,"1,862",23.7,16.2,65.1
"1,388",306,334,215,88,"1,864",23.8,15.1,62.4
"1,443",311,336,210,88,"1,865",25.7,15.7,65.8
"1,451",304,335,213,88,"1,864",27.2,15.1,65.9
"1,425",306,334,218,88,"1,866",27.6,16.4,69.6
"1,454",313,333,215,88,"1,868",28.9,17.3,73.2
"1,539",317,334,225,88,"1,866",28.5,17.1,72.3
"1,528",300,336,219,88,"1,866",28.4,16.8,71.4
"1,546",299,336,226,88,"1,868",28.4,16.6,70.9
"1,580",315,334,227,88,"1,869",28.8,17.3,73.1
"1,645",330,333,209,88,"1,871",28.2,18.1,74.6
"1,652",335,336,213,88,"1,873",27.3,17.4,71.8
"1,547",358,334,220,88,"1,872",27.6,15.3,66.8
"1,534",356,335,220,88,"1,870",27.5,16,68.5
"1,540",351,336,214,88,"1,868",27.6,15.9,68.3
"1,553",353,336,214,88,"1,866",27.5,16.3,69.2
"1,566",361,337,213,88,"1,867",27.8,16.3,69.6
"1,597",357,333,215,88,"1,870",26.8,16,67.8
"1,712",370,335,218,88,"1,871",27.6,16.7,70.4
"1,749",396,336,215,88,"1,872",27,16.5,69.2
"1,668",425,334,222,88,"1,873",26.1,15.1,64.7
"1,719",393,334,219,88,"1,871",26.8,16,67.8
"1,850",392,333,221,88,"1,868",28.1,17.8,73.7
"1,862",392,333,225,88,"1,868",28.6,17.2,72.7
"1,871",408,335,209,88,"1,872",28.7,16.9,72
"1,799",373,334,221,88,"1,872",28.4,16.6,70.9
"1,808",355,334,220,88,"1,869",28.6,16.9,71.9
"1,758",351,336,216,88,"1,866",27.4,16.3,69.1
"1,752",353,336,216,88,"1,865",27.8,16.3,69.6
"1,768",355,335,222,88,"1,867",28,16.6,70.5
"1,843",327,310,216,88,"1,866",27.2,17.9,73
"1,806",362,338,217,88,"1,872",28.3,17.7,73.6
"1,734",350,335,212,88,"1,867",27.4,15.9,68.1
"1,832",346,332,220,88,"1,867",28.1,17.3,72.4
"1,808",360,331,219,88,"1,870",28.4,16.9,71.7
"1,826",351,333,216,88,"1,866",28.2,17.4,72.8
"1,812",346,334,217,88,"1,865",28.6,17.1,72.4
"1,856",350,335,216,88,"1,862",28.3,17.8,73.9
"1,860",369,335,217,88,"1,861",28.7,17.3,73
"1,771",389,335,220,88,"1,860",27.1,16.2,68.6
"1,778",394,335,216,88,"1,860",27.6,17.2,71.6
"1,878",396,336,216,88,"1,854",28.9,17.8,74.5
"1,887",327,334,219,87,"1,838",25.9,18.5,73.2
"1,811",348,331,224,87,"1,841",26,17.2,70
"1,780",359,335,215,88,"1,854",25.2,16,66.1
"1,817",388,333,216,88,"1,859",26.9,16.7,69.6
"1,844",372,334,219,88,"1,857",27.6,17.7,72.9
"1,830",397,332,218,88,"1,851",27.7,17.5,72.5
"1,844",372,334,216,88,"1,849",27.9,18,74
"1,883",373,335,215,88,"1,852",28.6,18.3,75.5
"1,918",373,331,215,88,"1,853",29.1,18.2,75.7
"1,897",364,336,216,88,"1,854",29.4,18,75.5
"1,899",382,330,212,88,"1,855",28.9,17.2,73
"1,931",344,334,223,88,"1,854",28.9,17.2,73
"1,924",404,333,217,88,"1,854",27.1,17.6,72.1
"1,985",370,336,214,88,"1,857",28.6,18.2,75.2
"1,995",372,336,213,88,"1,858",28.1,18.2,74.7
"1,939",377,336,215,88,"1,858",28.2,17.5,73
"1,880",387,336,223,88,"1,858",28.6,17.1,72.4
"1,898",407,335,226,88,"1,857",28.1,16.9,71.4
"1,893",451,334,223,88,"1,856",28,16.6,70.5
"1,856",484,336,227,88,"1,860",28.1,16.8,71.1
"1,875",457,336,217,88,"1,861",28.2,16.8,71.2
"1,790",437,336,226,88,"1,857",28,15.2,67
"1,833",449,335,231,88,"1,852",28.1,16.6,70.6
"1,881",478,334,218,87,"1,840",29.2,17.4,73.8
"1,955",524,337,218,87,"1,846",26.9,18.8,75
"1,848",532,334,227,88,"1,858",25.7,17.2,69.7
"1,857",511,336,225,88,"1,859",25.9,17.2,69.9
"1,889",512,336,218,88,"1,855",26.4,17.7,71.7
"1,917",464,336,222,88,"1,854",27.5,18.1,73.8
"1,851",476,337,228,88,"1,860",26.7,16.9,69.9
"1,925",522,334,227,88,"1,861",27.6,17.9,73.4
"1,934",550,338,220,88,"1,856",29.1,18,75.2
"1,939",544,339,215,87,"1,851",29,18,75.1
"1,973",578,335,233,87,"1,849",27.1,17.7,72.4
"1,915",565,334,223,87,"1,847",26.1,17.3,70.3
"1,865",565,334,233,87,"1,851",26.1,17.1,69.8
"1,828",530,334,227,87,"1,856",26.4,17.1,70.1
"1,830",529,335,229,87,"1,858",27.3,17.6,72.3
"1,840",520,333,223,87,"1,855",27.1,18.1,73.4
"1,971",477,335,226,87,"1,853",28.2,18.6,75.8
"2,003",542,335,224,87,"1,858",27.4,18.2,74
"1,991",538,332,230,87,"1,859",26.8,18.1,73.1
"1,980",530,336,229,87,"1,858",26.4,17.8,71.9
"1,865",493,334,227,87,"1,858",26.5,17,70
"1,856",501,333,210,87,"1,858",27.7,16,68.7
"1,969",506,336,229,87,"1,856",27.6,17.8,73.2
"1,812",512,336,217,87,"1,857",25.2,15.5,64.8
"1,822",510,335,229,87,"1,855",26.6,14.6,64
"1,824",488,337,214,87,"1,856",27,15.1,65.7
"1,825",485,336,214,87,"1,854",27.6,15.1,66.3
"1,786",480,337,215,87,"1,856",27.3,14.2,63.7
"1,814",475,333,232,87,"1,858",27,14.6,64.4
